,company_id
510,4205
511,2359947
512,1158783
513,171280
514,1704420
515,1685570
516,814530
517,51521
518,92391
519,36793
520,115500
521,58569
522,1598952
523,88185
524,3915218
525,128563
526,554534
527,514264
528,184733
529,68158
530,1941951
531,100270
532,5900577
533,435211
534,123639
535,1591512
536,1105354
537,184965
538,73185
539,699815
540,1103044
541,1695254
542,944820
543,2096951
544,84033
545,821537
546,609258
547,165739
548,1874314
549,424055
550,5430463
551,3931203
552,170004
553,1650238
554,875122
555,131435
556,1589609
557,968831
558,29110
559,18008
560,48199
561,1630912
562,1754005
563,859768
564,115131
565,11319
566,1749785
567,48023
568,1136753
569,1488244
570,1179865
571,113225
572,1161877
573,169843
574,2113062
575,97943
576,867270
577,82515
578,4434379
579,1537618
580,814790
581,188706
582,49837
583,166443
584,176574
585,65723
586,66720
587,144735
588,102517
589,1540632
590,9011992
591,119012
592,2183246
593,7866981
594,4510
595,1139472
596,76497
597,136866
598,912200
599,35280
600,27604
601,56546
602,1238777
603,10284
604,138440
605,28199
606,310061
607,130611
608,175222
609,41972
610,554740
611,558761
612,6308316
613,95408
614,162640
615,830293
616,116069
617,6261513
618,2320
619,461952
620,6043608
621,110125
622,98638
623,4913440
624,151080
