,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
42,8761610,9429051360955,26 May 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8761610,8761610,,"20 Ozich Avenue, Te Atatu South, Auckland, 0610
, New Zealand","20 Ozich Avenue, Te Atatu South, Auckland, 0610
, New Zealand",,,,
43,8160248,9429049005394,24 Feb 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8160248,8160248,,"49 Abilene Crescent, Churton Park, Wellington, 6037
, New Zealand","49 Abilene Crescent, Churton Park, Wellington, 6037
, New Zealand",,,,
44,3289808,9429031202404,25 Feb 2011,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3289808,3289808,,"50b Heaphy Street, Blockhouse Bay, Auckland, 0600
, New Zealand","50b Heaphy Street, Blockhouse Bay, Auckland, 0600
, New Zealand",,,,
45,641116,9429038636882,09 Aug 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco641116,641116,,"Unit 31, 88 Cook Street, Auckland
, New Zealand","Unit 31, 88 Cook St, Auckland
, New Zealand",,March,,
46,7812739,9429047798274,19 Nov 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7812739,7812739,,"2/366 Yaldhurst Road, Russley, Christchurch, 8042
, New Zealand","2/366 Yaldhurst Road, Russley, Christchurch, 8042
, New Zealand",,,,
47,1349189,9429035881568,14 Jul 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1349189,1349189,,"Michael W Eiberg & Assoc Ltd, Chartered Accountants, 25 Quail Drive, Albany, Auckland
, New Zealand","Michael W Eiberg & Assoc Ltd, Chartered Accountants, 25 Quail Drive, Albany, Auckland
, New Zealand",,,,
48,1491925,9429035488910,10 Mar 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1491925,1491925,,"15c Margan Ave, New Lynn, Auckland
, New Zealand","15c Margan Ave, New Lynn, Auckland
, New Zealand",,,,
49,1154522,9429036813582,21 Aug 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1154522,1154522,,"C/-hk Taylor, 8 / 2 Pompallier Tce, Ponsonby Auckland
, New Zealand","C/-hk Taylor, 8 / 2 Pompallier Tce, Ponsonby Auckland
, New Zealand",,,,
50,1159910,9429036782758,31 Aug 2001,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1159910,1159910,,"P K F Goldsmith Fox, 67 Old Main North Road, Kaiapoi, 7691
, New Zealand","P K F Goldsmith Fox, 67 Old Main North Road, Kaiapoi, 7691
, New Zealand",,,,
51,2001021,9429033101255,03 Oct 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2001021,2001021,,"1858 River Road, Hamilton
, New Zealand","1858 River Road, Hamilton
, New Zealand",,,,
52,2331328,9429031869980,29 Sep 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2331328,2331328,,"1103, 17 Vogel Lane,, Auckland Central, 1010
, New Zealand","1103, 17 Vogel Lane,, Auckland Central, 1010
, New Zealand",,,,
53,2407623,9429031659888,17 Feb 2010,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2407623,2407623,,"1/28 Bairds Road, Otahuhu, Auckland
, New Zealand","1/28 Bairds Road, Otahuhu, Auckland
, New Zealand",,,,
54,6206067,9429045923685,27 Jan 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6206067,6206067,,"Suite 403, 47 Wakefield Street, Auckland Central, Auckland, 1010
, New Zealand","Suite 403, 47 Wakefield Street, Auckland Central, Auckland, 1010
, New Zealand",,,,
55,6137829,9429043383351,25 Oct 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6137829,6137829,,"E-COUNTING PARTNERS LIMITED, Level 2, 86 Lunn Avenue, Mount Wellington, Auckland, 1072
, New Zealand","3 Teal Way, Hobsonville, Auckland, 0616
, New Zealand",,,,
56,5426926,9429041410684,12 Sep 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5426926,5426926,,"48 Trinidad Road, Sunnynook, Auckland, 0620
, New Zealand","48 Trinidad Road, Sunnynook, Auckland, 0620
, New Zealand",,,,
57,6885633,9429046835598,11 Jun 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6885633,6885633,,"Zella Bartulovich, 76 Gossamer Drive, Pakuranga Heights, Auckland, 2010
, New Zealand","Zella Bartulovich, 76 Gossamer Drive, Pakuranga Heights, Auckland, 2010
, New Zealand",,,,
58,965862,9429037552817,22 Jun 1999,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco965862,965862,,"Solutions Law Office, 330 Aniseed Valley Road, Rd 1, Richmond, 7081
, New Zealand","Solutions Law Office, 330 Aniseed Valley Road, Rd 1, Richmond, 7081
, New Zealand",,,,
59,93415,9429040495248,16 Jan 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco93415,93415,,"69 Leonard Rd, Penrose, Auckland
, New Zealand",,,,,
60,522623,9429039060488,18 Sep 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco522623,522623,,"Spicer & Oppenheim, 1130 Pukaki Street, Rotorua
, New Zealand","Spicer & Oppenheim, 1130 Pukaki Street, Rotorua
, New Zealand",,,,
61,1953221,9429033329901,25 Jun 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1953221,1953221,,"26 Thurleigh Grove, Karori, Wellington, 6012
, New Zealand","26 Thurleigh Grove, Karori, Wellington, 6012
, New Zealand",,,,
62,1783829,9429034252383,10 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1783829,1783829,,"5/38 Bracken Ave, Takapuna, Auckland
, New Zealand","5/38 Bracken Ave, Takapuna, Auckland
, New Zealand",,,,
63,1990282,9429033108704,18 Oct 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1990282,1990282,,"25a Rosier Rd, Glen Eden
, New Zealand","25a Rosier Rd, Glen Eden
, New Zealand",,,,
