,href,company_id,nzbn,company_name
99,javascript:viewCompanyDetails('2283818');,2283818,9429032134421,X & Y PROPERTIES LIMITED
100,javascript:viewCompanyDetails('6258457');,6258457,9429046036766,X & Z INVESTMENTS LIMITED
101,javascript:viewCompanyDetails('1361766');,1361766,9429035851042,X - CEL EDUCATION LIMITED
102,javascript:viewCompanyDetails('1605646');,1605646,9429034923221,X - PONENTS PROMOTIONS LIMITED
103,javascript:viewCompanyDetails('8460822');,8460822,9429050789559,X CLEAN LIMITED
104,javascript:viewCompanyDetails('1266951');,1266951,9429036181414,X FACTOR MASTER STRIP LIMITED
105,javascript:viewCompanyDetails('1916154');,1916154,9429033561226,X FACTOR SOLUTIONS 07 LIMITED
106,javascript:viewCompanyDetails('1820313');,1820313,9429034099063,X FIVE PROPERTY INVESTMENT LIMITED
107,javascript:viewCompanyDetails('2142123');,2142123,9429032698138,X MARKETING LIMITED
108,javascript:viewCompanyDetails('2194253');,2194253,9429032461145,X PIZZA LIMITED
109,javascript:viewCompanyDetails('1850037');,1850037,9429033952437,X SAMPLES LIMITED
110,javascript:viewCompanyDetails('1647745');,1647745,9429034704837,X STATIC PERSONAL TRAINING LIMITED
111,javascript:viewCompanyDetails('5480010');,5480010,9429041442241,X TECH LIMITED
112,javascript:viewCompanyDetails('1966480');,1966480,9429033243740,X TRIPLE I PROJECTS LIMITED
113,javascript:viewCompanyDetails('2249055');,2249055,9429032228878,X U 1 PROPERTIES LIMITED
114,javascript:viewCompanyDetails('1621546');,1621546,9429034832004,X WHEEL NEW ZEALAND LIMITED
115,javascript:viewCompanyDetails('927036');,927036,9429037755584,X Y D INVESTMENTS LIMITED
116,javascript:viewCompanyDetails('704647');,704647,9429038393174,X Y Z RENTALS LIMITED
117,javascript:viewCompanyDetails('1427359');,1427359,9429035705680,X ZONE NEW ZEALAND LIMITED
118,javascript:viewCompanyDetails('2389774');,2389774,9429031696579,X | C MEDIA LIMITED
119,javascript:viewCompanyDetails('4368218');,4368218,9429030297869,ZAFAR ENTERPRISES LIMITED
120,javascript:viewCompanyDetails('986356');,986356,9429037446529,GOTTA GO NZ LIMITED
121,javascript:viewCompanyDetails('5710847');,5710847,9429041771594,EBB AND FLOW LIMITED
122,javascript:viewCompanyDetails('1631309');,1631309,9429034780268,LBB LIMITED
123,javascript:viewCompanyDetails('1616660');,1616660,9429034855959,MANAGEMENT INSITE LIMITED
124,javascript:viewCompanyDetails('1525749');,1525749,9429035331544,STONE EAGLE LIMITED
125,javascript:viewCompanyDetails('6152207');,6152207,9429043411610,X & C INVESTMENT CO. LIMITED
126,javascript:viewCompanyDetails('2219810');,2219810,9429032344226,X & Y BROTHERS INVESTMENTS LIMITED
127,javascript:viewCompanyDetails('852445');,852445,9429038112430,X - N - TRIK LIMITED
128,javascript:viewCompanyDetails('1528742');,1528742,9429035315346,X . F HEALTH CENTRE LIMITED
129,javascript:viewCompanyDetails('839493');,839493,9429038177996,X FACTOR MANAGEMENT LIMITED
130,javascript:viewCompanyDetails('8403442');,8403442,9429050671939,X FAMILY TRUSTEE NEW ZEALAND LIMITED
131,javascript:viewCompanyDetails('2235120');,2235120,9429032282764,X MARKS THE SPOT PROMOTIONS LIMITED
132,javascript:viewCompanyDetails('3246627');,3246627,9429031245562,X PC REPAIRS AND MAINTENANCE LIMITED
133,javascript:viewCompanyDetails('2283516');,2283516,9429032136401,X STREAM CHARTERS LIMITED
134,javascript:viewCompanyDetails('1144539');,1144539,9429036867851,ENTREPRENEURS SUCCESS CENTRE LIMITED
135,javascript:viewCompanyDetails('3759336');,3759336,9429030735798,EXCEL HOMES LIMITED
136,javascript:viewCompanyDetails('1596496');,1596496,9429034978306,INFINITELY BOOKS LIMITED
137,javascript:viewCompanyDetails('1645962');,1645962,9429034709566,X & L GROUP LIMITED
138,javascript:viewCompanyDetails('2151537');,2151537,9429032658262,X & L STOPPING AND PAINTING LIMITED
139,javascript:viewCompanyDetails('655197');,655197,9429038577567,X + Y MATHS TUTORING CENTRE LIMITED
140,javascript:viewCompanyDetails('1943898');,1943898,9429033387024,X Y AFTER SCHOOL ART STUDIO LIMITED
141,javascript:viewCompanyDetails('2088950');,2088950,9429032930061,XTREME RIDES (2012) LIMITED
142,javascript:viewCompanyDetails('7402956');,7402956,9429047396159,TAUPO CYCLES LIMITED
143,javascript:viewCompanyDetails('644167');,644167,9429038622786,X B HOLDINGS LIMITED
144,javascript:viewCompanyDetails('809670');,809670,9429038315596,X FACTOR LIMITED
145,javascript:viewCompanyDetails('2203833');,2203833,9429032420111,X IT PAUL & ROSE LIMITED
146,javascript:viewCompanyDetails('1219338');,1219338,9429036447312,X VILLAGE PEOPLE LIMITED
147,javascript:viewCompanyDetails('5898070');,5898070,9429042212393,XTREME CLEAN THE ORIGINAL LIMITED
148,javascript:viewCompanyDetails('2536648');,2536648,9429031481526,DOUBLE X AVIATION LIMITED
149,javascript:viewCompanyDetails('543805');,543805,9429038999918,CREATIVE ON CONCRETE LIMITED
150,javascript:viewCompanyDetails('1529592');,1529592,9429035310907,PETE'S PLACE NZ LIMITED
151,javascript:viewCompanyDetails('1265936');,1265936,9429036187591,X GAMERS LIMITED
152,javascript:viewCompanyDetails('2255548');,2255548,9429032213454,ALL BUT THERE LIMITED
153,javascript:viewCompanyDetails('5895734');,5895734,9429042206071,HAWK TOUR LIMITED
154,javascript:viewCompanyDetails('2396686');,2396686,9429031682091,WIDE SPAN SHEDS NORTH AUCKLAND LIMITED
155,javascript:viewCompanyDetails('6821515');,6821515,9429046747372,X MAN SERVICES LIMITED
156,javascript:viewCompanyDetails('942887');,942887,9429037676759,X MINUS Y EQUALS Z CONSULTING LIMITED
157,javascript:viewCompanyDetails('1982801');,1982801,9429033148465,BAKER X TRADING LIMITED
158,javascript:viewCompanyDetails('1555280');,1555280,9429035189220,N R G X LIMITED
159,javascript:viewCompanyDetails('1978876');,1978876,9429033172866,ATM SERVICING LIMITED
160,javascript:viewCompanyDetails('6152268');,6152268,9429043411894,"""X"" BOOKSHOP & MUSIC LOUNGE LIMITED"
161,javascript:viewCompanyDetails('8134661');,8134661,9429048737456,ADMIN X LIMITED
162,javascript:viewCompanyDetails('7626676');,7626676,9429047588196,ADRENALINE X LIMITED
163,javascript:viewCompanyDetails('1259757');,1259757,9429036222711,ADVENTURE X LIMITED
164,javascript:viewCompanyDetails('1028229');,1028229,9429037294793,AGENCY X LIMITED
165,javascript:viewCompanyDetails('1512079');,1512079,9429035401667,ASYLUM X LIMITED
166,javascript:viewCompanyDetails('6183604');,6183604,9429045865855,AXIS X LIMITED
167,javascript:viewCompanyDetails('931533');,931533,9429037734992,BRAND X LIMITED
168,javascript:viewCompanyDetails('1179266');,1179266,9429036677801,CALENDAR X LIMITED
169,javascript:viewCompanyDetails('1630977');,1630977,9429034782798,CATAPULT X LIMITED
170,javascript:viewCompanyDetails('1241185');,1241185,9429036321469,CHANNEL X LIMITED
171,javascript:viewCompanyDetails('1200107');,1200107,9429036557042,COMPANY X LIMITED
172,javascript:viewCompanyDetails('1037829');,1037829,9429037249762,CONSULT X LIMITED
173,javascript:viewCompanyDetails('8088157');,8088157,9429048541091,CORPORATION X LIMITED
174,javascript:viewCompanyDetails('1585821');,1585821,9429035038399,CRANES X LIMITED
175,javascript:viewCompanyDetails('1223837');,1223837,9429036420490,CYBER X LIMITED
176,javascript:viewCompanyDetails('2165363');,2165363,9429032596649,DELI X LIMITED
177,javascript:viewCompanyDetails('1949196');,1949196,9429033355726,DEVELOP X LIMITED
178,javascript:viewCompanyDetails('5925971');,5925971,9429042254638,DOVETAIL X LIMITED
179,javascript:viewCompanyDetails('8010556');,8010556,9429048303842,EQUIPT X LIMITED
180,javascript:viewCompanyDetails('7049076');,7049076,9429047047839,EXPERIENCE X LIMITED
181,javascript:viewCompanyDetails('338858');,338858,9429039626387,FACTOR X LIMITED
182,javascript:viewCompanyDetails('1787645');,1787645,9429034243176,FREIGHT X LIMITED
183,javascript:viewCompanyDetails('5407715');,5407715,9429041343401,GEN X LIMITED
184,javascript:viewCompanyDetails('1696280');,1696280,9429034538548,GENERATION X LIMITED
185,javascript:viewCompanyDetails('596256');,596256,9429038821349,GLOBAL X LIMITED
186,javascript:viewCompanyDetails('8146817');,8146817,9429048864008,HYDE X LIMITED
187,javascript:viewCompanyDetails('1592304');,1592304,9429035003618,IMPORT X LIMITED
188,javascript:viewCompanyDetails('6263329');,6263329,9429046057617,INDUSTRY X LIMITED
189,javascript:viewCompanyDetails('1855345');,1855345,9429033928159,INSTALL X LIMITED
190,javascript:viewCompanyDetails('2173062');,2173062,9429032559200,ISLAND X LIMITED
191,javascript:viewCompanyDetails('1655958');,1655958,9429034676424,ISLAND X LIMITED
192,javascript:viewCompanyDetails('1204254');,1204254,9429036532469,JOHNNY X LIMITED
193,javascript:viewCompanyDetails('8138020');,8138020,9429048768399,KIWI X LIMITED
194,javascript:viewCompanyDetails('8152559');,8152559,9429048919128,LEARNING X LIMITED
195,javascript:viewCompanyDetails('872270');,872270,9429038015014,LIQUID X LIMITED
196,javascript:viewCompanyDetails('3670912');,3670912,9429030869745,LITTLE X LIMITED
197,javascript:viewCompanyDetails('2165998');,2165998,9429032592283,LYNN X LIMITED
198,javascript:viewCompanyDetails('1478911');,1478911,9429035562467,MEL X LIMITED
199,javascript:viewCompanyDetails('2221853');,2221853,9429032337006,METAL X LIMITED
200,javascript:viewCompanyDetails('7483156');,7483156,9429047466593,NATION X LIMITED
201,javascript:viewCompanyDetails('4959860');,4959860,9429041092958,NEW X LIMITED
202,javascript:viewCompanyDetails('1707500');,1707500,9429034499368,OCEAN X LIMITED
203,javascript:viewCompanyDetails('8051539');,8051539,9429048441537,OCEAN X LIMITED
204,javascript:viewCompanyDetails('8176939');,8176939,9429049217599,OCTOPUS X LIMITED
205,javascript:viewCompanyDetails('6987780');,6987780,9429046991096,PLANET X LIMITED
206,javascript:viewCompanyDetails('1202652');,1202652,9429036541478,PLANET X LIMITED
207,javascript:viewCompanyDetails('1635869');,1635869,9429034760970,PLANET X LIMITED
208,javascript:viewCompanyDetails('8957109');,8957109,9429051656621,PLANET X LIMITED
209,javascript:viewCompanyDetails('1538367');,1538367,9429035266150,PLUMB X LIMITED
210,javascript:viewCompanyDetails('593961');,593961,9429038829468,PROJECT X LIMITED
211,javascript:viewCompanyDetails('1562157');,1562157,9429035152682,PROPERTY X LIMITED
212,javascript:viewCompanyDetails('3903918');,3903918,9429030604902,QIAN X LIMITED
213,javascript:viewCompanyDetails('567205');,567205,9429038911118,STUDIO X LIMITED
